input,output
Can you explain Existing based on the text?,"between wells and sources of pollution for an Existing Construction : II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT B. Title II Insured Housing Programs Reverse Mortgages 4. Underwriting the Property Handbook 4000.1 606 Last Revised: 10/31 /2023 Individual Water Supply System for Minimum Property Requirements for Existing Construction * 1 Property line/10 feet 2 Septic tank/50 feet 3 Drain field/100 feet 4 Septic tank drain field reduced to 75 feet if allowed by local authority 5 If the subject Property line is adjacent to a residential Property , then local well distance requirements prevail. If the subject Property is adjacent to a nonresidential Property or roadway, there needs to be a separation distance of at least 10 feet from the property line. * distance requirements of local authority prevail if greater than stated above The following provides the minimum requirements for water wells: Water Wells Minimum Property Standards for New Construction 24 CFR 200.926d(f)(1) 1 Lead -free piping 2 If no local chemical and bacteriological water standards, state standards apply 3 Connection of public water whenever feasible 4 Wells must deliver a continuous water flow of five gallons per minute over at least a four -hour period Water Wells Minimum Property Requirements for Existing Construction 1 Existing wells must deliver a continuous water flow at a minimum of three to five gallons per minute 2 No exposure to environmental contamination 3 Continuing supply of safe and pota"
What information is provided about certification?,"oachment does not affect the marketability of the subject Property . (B) Overhead Electric Power The Mortgagee must confirm that any Overhead Electric Power Transmissi on Lines do not pass directly over any dwelling, Structure or related property improvement, including pools. The power line must be relocated for a Propert y to be eligible for FHA -insured financing. The residential service drop line may not pass directly over any pool, spa or water feature. If the dwelling or related property improvements are located within the Easement area, the Mortgagee must obtain a certification from the appropriate utility company or local regulatory agency stating that the relationship between the improvements and Local D istribution Lines conforms to local standards and is safe. (C) Access to Property The Mortgage e must confirm that the Propert y is provided with a safe pedestrian access and Adequate V ehicular Access from a public or private street. Streets must either be dedicated to public use and maintenance, or retained as private streets protected by permanent recorded Easements. Private streets, including shared driveways, must be protected by permanent recorded Easements, ownership interest, or be owned and maintained by an HOA. Private streets and s hared driveways do not require a joint maintenance agreement. (D) Onsite Hazards and Nuisances The Mortgagee must require corrective work to mitigate potential adverse effects from any onsite hazards or nuisances reported by the"
How does the document describe appraisal?,"m Standards of Professional Appraisal Practice (USPAP ), including the Competency Rule, when conducting appraisals of Properties classified as Personal Property or Real Property. Certified real estate Appraisers providing appraisal services for land parcels and/or a real property interest in the Manufactured Home will follow USPAP Standards 1 and 2 when developing and reporting the results of the appraisal. All Appraisers providing services involving Manufactured Homes where the property interest is Chattel (or Personal Property) will follow USPAP Standards 7 and 8 when developing and reporting the results of the appraisal. The Appraiser must include evidence that the Appraiser meets one of the qualification standards, such as a copy of a current certification, a printed web page or other documentation showing that the Appraiser is: MHV certified on the MHV registry ; or a certified real estate Appraiser who is active on the FHA Appraiser Roster . Requirements for Appraisers of real estate interests and Chattel (or personal property interests) are found in the Other Participants - Appraisers section of Doing Business with FHA in Handbook 4000.1. 3. Commencement of the Appraisal ( 05/09/2022 ) The Appraiser must obtain all of the following from the Lender before beginning an appraisal: a complete copy of the executed sales contract for the sale of the Manufactured Home and land, or, if the Manufactured Home and land are being purchased separately, the executed contract for eac"
Can you explain Processing based on the text?,"remiums Branch (Title I Insurance Processing) The Lender must submit the following Title I claim -related requests to the Title I Insurance Processing Branch: initial Title I claim submissions; resubmittals of claims; appeals of claim denials; and waiver requests. For assistance or questions regarding claims, Lenders may contact the Title I Insurance Processing Branch in the following ways: call the Title I Insurance Processing Help Line at (800) 669 -5152 extension 2832; send a fax to (202) 485 -9035; send an email to title_one_help@hud.gov ; or in writing to: U.S. Department of Housing and Urban Development Financial Operations Center Attention: Title I Insurance Processing Branch 52 Corporate Circle Albany, New York 12203 IV. CLAIMS AND DISPOSITION C. Title I Claims 1. Title I Claims for Property Improvement Handbook 4000.1 1663 Last Revised : 10/31 /2023 e. Method and Notification of Payment (05/09/2022 ) The Debt Collection Improvement Act of 1996 directs federal agencies to disburse funds via Electronic Funds Transfer (EFT). i. Electronic Funds Transfer In order to receive claim payments, the Lender must have completed the SF 3881 form, ACH Vendor/Miscellaneous Payment Enrollment . To wire payments to a Lenders bank account, HUD must receive a completed SF 3881 form. Processing this form takes several weeks as does testing through the Federal Reserve System. It is advisable for a Lender to have the form on file with HUD before filing a claim. The form can be obtained fr"
Can you explain Credit based on the text?,"I Insured Programs 4. Manufactured Home Loan Program Handbook 4000.1 1029 Last Revised: 10/31 /2023 The MDCS will be used to determine the maximum insured financing available to a Borrower with traditional credit. The table below describes the relationship between the Borrowers MDCS and the LTV ratio for which they are eligible. If the Borrowers Minimum Decision Credit Score is... Then the maximum Loan -to- Value is... Above 500 95% 500 and below 90% (D) Calculating the Loan -to-Value The Lender must calculate the LTV to determine the maximum Base Loan Amount, which is the amount prior to adding in the Upfront Insurance Premium (UFIP). The Base Loan Amount may be increased by the financed UFIP amount, but must not exceed the Nationwide Loan Limits . The LTV is calculated according to the specific loan purpose. (E) Calculating the Maximum Loan Amount Purchase Transactions (1) Maximum Base Loan Amount for New Manufactured Home The maximum Base Loan Amount is determined by applying the LTV (95 percent or 90 percent) to the sum of the following amounts: 130 percent of the sum of the wholesale (base) price of the home plus eligible itemized options, including the charge for freight, as detailed on the Manufacturers Invoice; sales tax to be paid by the Borrower, as detailed in the retail sales purchase contract; Dealers actual cost of transportation to the home site, set -up and anchoring, including the rental of wheels and axles (if not included in the freight charges); Dealers a"
How does the document describe Partial?,al Claim The Mortgagee must offer an FHA -HAMP Standalone Partial Claim as an appropriate Loss Mitigation Option if all the following criteria are met: A Mortgage Payment at or below the target Mortgage Payment cannot be achieved by re -amortizing the Mortgage/outstanding debt for 360 months at the Market Rate . The FHA -HAMP Partial Claim will not exceed the 30 percent maximum statutory limit for all Partial Claims combined. The Borrowers current interest rate is at or below the Market Rate. The Borrowers current Mortgage Payment with reanalyzed escrow is at or below the target Mortgage Payment. The Borrower meets all eligibility requirements of the FHA -HAMP Option. The FHA -HAMP Standalone Partial Claim may only include amount s needed to bring the Borrower current including : arrearages ; Mortgagee advances for escrow items; projected escrow shortage amount; and related legal fees and foreclosure and bankruptcy costs for work performed for the current Default episode as of the date of the foreclosure cancellation and not higher than the foreclosure -related fees and costs HUD has identified as customary and reasonable. The following costs may not be included i n an FHA -HAMP Partial Claim: late fees; and costs to complete needed repairs as part of the FHA -HAMP agreement. III. SERVICING AND LOSS MITIGATION A. Title II Insured Housing Programs Forward Mortgages 2. Default Servicing Handbook 4000.1 1225 Last Revised: 10/31 /2023 (3) FHA -HAMP Combination Loan Modification a
What information is provided about Property?,"he Mortgagee must verify and document that the Borrower has sufficient cash for closing. (N) Sale of Personal Property (TOTAL ) (1) Definition Personal Property refers to tangible property, other than Real Property, such as cars, recreational vehicles, stamps, coins , or other collectibles. (2) Standard The Mortgagee must use the lesser of the estimated value or actual sales price when determining the sufficiency of assets to close. (3) Required Documentation Borrowers may sell Personal Property to obtain cash for closing. The Mortgagee must obtain a satisfactory estimate of the value of the item, a copy of the bill of sale, evidence of receipt, and deposit of proceeds. A value estimate may take the form of a published value estimate issued by organizations such as automobile dealers, philatelic or numismatic associations , or a separate written appraisal by a qualified Appraiser with no financial interest in the mortgage transaction. (O) Trade -In of Manufactured Home (TOTAL ) (1) Definition Trade -In of Manufactured Home refers to the Borrower s sale or trade -in of another Manufactured Home that is not considered real estate to a Manufactured Housing dealer or a n independent third party. (2) Standard The net proceeds from the Trade-In of a Manufactured Home may be utilized as the Borrower s source of funds. Trade -ins cannot result in cash back to the Borrower from the dealer or independent third party . II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT A. Title II Insure"
What information is provided about Satisfactory?,"property taxes and insurance premiums on behalf of the Borrower. The Borrower remains responsible for timely payment of all other Property Charges . (2) Partially Funded LESA Where the Mortgagee determines the Borrower has demonstrated the willingness to meet their financial obligations as stated in Satisfactory Credit History and Satisfactory Property Charge Payment History but does not meet the Residual Income Standard and no Compensating Factors can be documented, the Mortgagee must, at a minimum, require a Partially Funded LESA . The Mortgagee must determine whether the Partially Funded LESA will provide sufficient funds that will result in the Borrower m eeting the Residual Income standard. If the establishment of the Partially Funded LESA will not result in the Borrower meeting the Residual Income standard, then the HECM is not a sustainable solution. A Partially Funded LESA is not required if the Borrower voluntarily requests a Fully Funded LESA . If the amount of the Partially Funded LESA is greater than 75 percent of the Projected Life Expectancy Property Charge s, a Fully Funded LESA must be required . Through the Partially Funded LESA , the Borrower will receive semiannual payments from HECM proceeds to pay property taxes and insurance premiums. The Borrower remains responsible for timely payment of all Property Charges . (3) Voluntary Fully Funded LESA If a Partially or Fully Funded LESA is not required, the Borrower may voluntarily request a Fully Funded LESA to"
What are the key points mentioned about Request?,"(FHAC -B2G) application. (B) Obtaining the Mortgage Insurance Certificate When requesting the MIC, the Mortgagee must specify whether it is to be prepared in the name of the originator (principal) or authorized agent, as it appears in HUD systems. The MIC will be issued electronically. The Mortgagee can download and print copies of the MIC as needed from FHAC. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT B. Title II Insured Housing Programs Reverse Mortgages 7. Post-closing and Endorsement Handbook 4000.1 725 Last Revised: 10/31 /2023 (C) Corrections to the Mortgage Insurance Certificate To obtain a correction to the MIC, the Mortgagee must submit the MIC Correction Request Template to the FHA Resource Center. This form may be used to correct the property address, Borrower name, ADP Code, interest rate, SSN, FHA case number, MCA , Principal Limit amount, or other information contained in the MIC. (D) Corrections to Original Instruments The Mortgagee must follow applicable local law when making corrections to the original instruments. If new instruments are executed as required by local law, the Mortgagee must submit the new instruments prior to insurance endorsement. (E) Partial Release of Security FHA approval for partial release of security is required except in limited circumstances. See the Servicing and Loss Mitigation section of Handbook 4000.1 for more information. iii. HECM File Retention The Mortgagee must retain their HECM file, including the case binder , in"
What does the document say about action?,"B) Standard The Mortgagee must report the Delinquency /Default Status Codes that accurately reflect the severity of Default and Mortgagee action taken in SFDMS. (1) Types of Mortgages to Report Each month, the Mortgagee must report Default servicing activities for all Mortgages that are 30, 60, and 90 Days or more in Default as of the last Day of the month. The Mortgagee must report the status of three classes of Mortgages each month: New Delinquencies: The Mortgagee must report Defaulted accounts when one full installment is due and unpaid (30 Days Delinquent - Status Code 42) and must continue reporting the applicable Status Code until the Default is resolved. Open Delinquencies: The Mortgagee must continue to report a Status Code 42 until a servicing action has been initiated/approved and/or completed, which would warrant a Status Code change. Delinquencies Resolved During the Cycle Month: The Mortgagee must report the appropriate Status Code to reflect that the delinquency has been addressed. (2) Property Vacancy Reporting The Mortgagee must advise HUD when the mortgaged Property becomes vacant by reporting in SFDMS: the Occupancy Status Code; and the date when the Mortgagee determined that the mortgaged Property became vacant. o If the mortgaged Property becomes reoccupied, remove the date. o If the mortgaged Property becomes re -vacated, input new date. (3) Time Frame for Reporting For every case for which reporting is required, the Mortgagee must submit delinquency dat"
What information is provided about Mortgages?,"the first normal recertification following the increase; and NOTE: Reason for Not Reporting to HUD -A $50 increase (or more) per month on these mortgages does not require an additional recertification. The assistance payments are adjusted at the time of the annual recertification effective as of the date the income i ncrease occurred. b. where the mortgage was insured on or after January 5, 1976, and the mortgagor failed to notify the mortgagee of changes in total family income as noted in (a) above or the mortgagor did not report a $50 increase (or more) per month in adult family income until the annual recertification and overpaid assistanc e resulted. NOTE: Reason for Not Reporting to HUD -While the mortgagor is obligated to report a $50 increase (or more) per month in adult family income when they are received, it was reported at the time of the annual recertification. Once the mortgagee learns that suc h an increase did go into effect and went unreported by the mortgagor, the mortgagee is to take the necessary steps to determine when the III. SERVICING AND LOSS MITIGATION A. Title II Insured Housing Programs Forward Mortgages 3. Programs and Products - Section 235 Mortgages (03/31/2022) Handbook 4000.1 1417 Last Revised: 10/31 /2023 $50 (or more) income increased per month. Assistance must then be recomputed and the overpaid assistance refunded to HUD. B. HUD Field Office Responsibility. The HUD Field Office Manager will review any information sent in with respect to pos"
What are the key points mentioned about either?,"ty of the Mortgagee. III. SERVICING AND LOSS MITIGATION B. Title II Insured Housing Programs Reverse Mortgages 1. Servicing of FHA -Insured HECMs Handbook 4000.1 1451 Last Revised : 10/31 /2023 g. Servicing Fees and Charges (04/29/2024) i. Definitions Allowable Fees and Charges are those costs associated with the servicing of the Mortgage that are permitted to be charged to the Borrower. Prohibited Fees and Charges are those costs associated with the servicing of the Mortgage that may not be charged to the Borrower. ii. Standard (A) Allowable Fees and Charges The Mortgagee may collect certain reasonable and customary fees and charges from the Borrower after the Mortgage is insured and as authorized by HUD below. All fees must be: reasonable and customary for the local jurisdiction; based on actual cost of the work performed or actual out -of-pocket expenses and not a percentage of either the face amount or the unpaid principal balance of the Mortgage; and within the maximum amount allowed by HUD . (B) Request for Approval for Other Fees or Charges The Mortgagee may request approval from the National Servicing Center (NSC) through HERMIT for any fee, charge, or unusual service not specifically mentioned in this Handbook 4000.1 . (C) Prohibited Fees and Charges The Mortgagee must not charge the Borrower for the following services: costs of telephone calls, personal visits with the Borrower, certified mail, or other activities that are normally considered a part of a prudent Mor"
What information is provided about Mortgages?,"r; property tax, Flood and Hazard Insurance payments required by the Mortgagee to be paid at closing; for fixed rate HECMs: the total amount of Property Charges scheduled for payment during the First 12 -Month Disbursement Period from a Fully Funded LESA . Mortgagees must use the actual insurance premium and actual tax amount; and for adjustable rate HECMs: the total amount of property charge payments scheduled for payment from the Borrower -authorized option as set forth in 24 CFR 206.205 during the First 12 -Month Disbursement Period ; II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT B. Title II Insured Housing Programs Reverse Mortgages 6. Closing Handbook 4000.1 701 Last Revised: 10/31 /2023 the total amount of semiannual Disbursements scheduled to be made during the First 12 -Month Disbursement Period to the Borrower from a Partially Funded LESA ; and the total amount of Property Charges schedule d for payment during the First 12 -Month Disbursement Period from a Fully Funded LESA . Mortgagees must use the actual insurance premium and actual tax amount . (2) Seasoning Requirements for Existing Non -HECM Liens (a) Standard The Mortgage e must determine the age of the lien and , if necessary, the amount of funds provided to the Borrower. T he Mortgagee may use HECM proceeds to pay off existing non-HECM liens if: the liens ha ve been in place for longer than 12 months prior to the date of the HECM closing; the lien resulted in the Borrower receiving $500 or less in cash, w"
How does the document describe servicing?,"yment plan or Forbearance Plan . (B) Reasonable Effort in Arranging a Face -to-Face Interview (1) Standard In addition to the reasonable effort standards for all FHA -insured Mortgages, the Mortgagee must make at least one telephone call to the Borrower to arrange a face-to-face interview. (2) Required Documentation The Mortgagee must document in its servicing file all attempts in contacting the Borrower to arrange a face -to-face interview. ii. Information Provided to the Borrower (A) Standard The Mortgagee must inform the Borrower of the following: that HUD will make information regarding the status and payment history of the Borrowers Mortgage available to local credit bureaus and prospective creditors; other available mortgage assistance, if any; and the names and contact information of HUD officials to whom further communications may be addressed. (B) Required Documentation The Mortgagee must note in its servicing file when and how the Borrower was informed of the information above. III. SERVICING AND LOSS MITIGATION A. Title II Insured Housing Programs Forward Mortgages 3. Programs and Products - Section 222 Mortgages (03/31/2022) Handbook 4000.1 1362 Last Revised: 10/31 /2023 e. Section 222 Mortgages (03/31/2022 ) Authority for Mortgages insured under Section 222 of the National Housing Act was repealed on July 30, 2008. The following policies apply for existing Section 222 Mortgages, for which Mortgage Insurance Premium s (MIP) are paid by the servicemember -Borrowers"
Can you explain amounts based on the text?,"a term of more than 15 years. The annual MIP for these loans will be reduced to 50 basis points. 2. On loan amounts less than or equal to $726,200 with a Loan t o Value of greater than 90%, but less than or equal to 95% and with a te rm more than 15 years. The annual MIP for these loans will be reduced to 50 basis points. Website: www.FHA.com Page | 7 FHA.com is a private company, not affiliated with any government agency, is not a lender and does not offer to make loans. Information in this reference guide is subject to change w ithout notice. 3. On loan amounts less than or equal to $726,200 with a Loan to Value of greater than 95%, and w ith a term more than 15 years. The annual MIP for these loans will be reduced to 55 basis points. 4. On loan amounts greater than $726,200 with a Loan to Value of less than or equal to 90% and with a term more than 15 years. The annual MIP for these loans wi ll be reduced to 70 basis points. 5. On loan amounts greater than $726,200 with a Loan to Value of greater than 90%, but less than or equal to 95% and with a term of more than 15 years. The annual MIP for these loans will be reduced to 70 basis points. 6. On loa n amounts greater than $726,200 with a Loan to Value of greater than 95%, and with a term more than 15 years. The annual MIP for these loans will be reduced to 75 basis points. MORTGAGE TERMS OF LESS THAN OR EQUAL TO 15 YEARS 1."
What does the document say about Handbook?,"ily Mortgage Insurance on Hawaiian Home Lands (11/07/2023) Handbook 4000.1 470 Last Revised: 10/31 /2023 this form by writing to the Department of Hawaiian Home Land s, Attn: Loan Services Branch. iv. Appraisal Mortgagee s are required to obtain an appraisal for both Existing and New Construction with the cost approach to value developed. The sales comparison and income approaches to value may be excluded when the approaches are not necessary for credible results and the basis of the exclusion is explained. The following statement may be included on the applicable Fannie Mae Form 1004 /Freddie Mac Form 70 , Uniform Residential Appraisal Report (URAR ): This appraisal has been completed for FHA mortgage insurance purposes, per HUD instructions for DHHL Properties. For more information on appraisal requirements, refer to the Appraiser section. v. Origination (A) Loan -to-Value Limit s for Cash -Out Refinances The maximum LTV ratio for refinance loans is 75 percent. The maximum LTV may be increased to 85 percent when the Borrower is paying off an existing Mortgage and all remaining proceeds are used for documented home improvements. Cash -out refinancing for the purpose of debt consolidation is not allowed. (B) Mortgage Insurance Premium The Mortgage Insurance Premium (MIP) payment on a Section 247 Mortgage is a one-time upfront MIP of 380 Basis Points (bps). Annual or periodic MIPs are not assessed on Section 247 Mortgage s. vi. Underwriting For refinance transactions, for the"
What does the document say about contacting?,"ion the lender will provide you with a document that details how much you can borrow to buy a home. You may want to consider looking online to see what different lenders offer, such as on MortgageMatch.com, or contacting your local bank or credit union. 3 H O M E B U Y E R S G U I D E R E A LT O R . C O M | T O P P R O D U C E R | S T E P - B Y- S T E P S E R I E S The benefits of pre-qualification include: Youll have information about what you can afford and be able to plan accordingly As a qualified, motivated buyer youll be taken more seriously when you make an offer on a home Lenders can tell you whether you qualify for any special programs that will enable you to afford a better home (particularly if youre a first-time buyer) Real estate financing is available from many sources, and an experienced REALTOR will be able to suggest lenders with a history of offering excellent mortgage products and services. For more information about the benefits of pre-approval and the loan process in general, see The Loan Process - Financing Your Home Purchase, on page 17. 4. View Homes And Select THE ONE Simply put, key to the home search process is knowing what youre looking for. Among other things, that means distinguishing between must-haves and like-to-haves. To help you to target your search and define your home preference priorities, this guide includes a Home Search Worksheet on page 28."
How does the document describe report?,"is applying for a Traditional or Refinance HECM , the Mortgagee is not required to develop the Borrowers credit history using the requirements for non-traditional and insufficient credit. The Borrowe r may be deemed to have an acceptable credit history. If the TRMCR or RMCR generates a credit score, the Mortgagee must utilize traditional credit history. (A) Requirements for the Credit Report Credit reports must obtain all information from at least two credit repositories pertaining to credit, residence history, and public records information; be in an easy to read and understandable format; and not require code translations. The credit report may not contain whiteouts, erasures, or alterations. The Mortgagee must retain copies of all credit reports. The credit report must include: the name of the Mortgagee ordering the report; II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT B. Title II Insured Housing Programs Reverse Mortgages 5. Performing the Financial Assessment of the Borrower Handbook 4000.1 619 Last Revised: 10/31 /2023 the name, address, and telephone number of the consumer reporting agency ; the name and SSN of each Borrower; and the primary repository from which any particular information was pulled, for each account listed. A truncated SSN is acceptable for FHA mortgage insurance purposes , provided that the mortgage application captures the full nine -digit SSN. The credit report must also include: all inquiries made within the last 90 Days; all credit and lega"
Can you explain Applications based on the text?,............................ ........................ 5 c. Eligibility Requirements (11/07/2023) ................................ ................................ ............... 8 d. Processing of Applications (09/14/2015) ................................ ................................ .......... 25 e. Application Approval (09/14/2015) ................................ ................................ .................. 25 f. Application Denial (03/14/2016) ................................ ................................ ...................... 25 4. Branch Offices ................................ ................................ ................................ ........................ 26 a. Registration (09/14/2015) ................................ ................................ ................................ . 26 b. Single Family Lending Area (09/14/2015) ................................ ................................ ....... 26 c. Managers (03/14/2016) ................................ ................................ ................................ ..... 26 d. Net Branching Prohibition (09/14/2015) ................................ ................................ .......... 27 5. Supplemental Mortgagee Authorities ................................ ................................ ..................... 27 a. Title II Direct Endorsement Authority (01/24/2022) ................................ ........................ 27 b. Title II Single Family Lender Insurance Auth
What are the key points mentioned about shutters?,"ture only, not trade fixtures or equipment) driveways ducts duplex (lot and both dwellings owned by same person = multifamily loan limits, $24,000) electric garage door opener (hard wire) electric light fixtures, lines, poles electric light systems shingles shower doors shutters sidewalks (private) siding (cement, ceramic tile, brick, wood, aluminum) sills silo sinks slating smokestack solar and wind energy systems sunspace/solarium - permanently installed for use as a sun room, family room spa - permanently installed inside the Structure sprinkler systems, fire stairs stalls steam cleaning steeples stokers stone siding storm cellars storm panels stuccoing studding structural changes tanks; fuel (residential Property only, not commercial); milk, septic, storage, water tiles (ceiling, ceramic, cement, floor (permanently affixed, plastic, acoustical) termite control, with replacement of damage trees (diseased or damaged and hazard to Structure on Property) trestles troughs II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT E. Title I Insured Programs 2. Property Improvement Loan Program Handbook 4000.1 918 Last Revised: 10/31 /2023 Eligible Repairs and Improvements elevators escalators exhaust fans exterior finishing work fans (permanently attached to Structure, non-window) fences (chain link, brick, wood, iron) finishing work fire escapes fireplaces (indoor) floodlight (non -display) flooring flour mills, sheds flues foundations fronts, commercial buildings or residential Struc"
Can you explain determine based on the text?,". (iii) Standard for Refinances with a Term Reduction of Three Years or More The Mortgagee must determine that there is a net tangible benefit to the Borrower meeting the standards in the chart below for all Streamline Refinance transactions with a reduction in term of three years or more . Additionally, the combined principal, interest, and MIP payment of the new Mortgage must not exceed the combined principal, interest, and MIP payment of the refinanced Mortgage by more than $50. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT A. Title II Insured Housing Programs Forward Mortgages 8. Programs and Products - Refinances (04/18/2023) Handbook 4000.1 456 Last Revised: 10/31 /2023 To From Fixed Rate New Combined Rate One-Year ARM New Combined Rate Hybrid ARM New Combined Rate Fixed Rate Below the prior Combined Rate. N/A N/A Any ARM With Less Than 15 Months to Next Payment Change Date No more than 2 percentage points above the prior Combined Rate. N/A N/A Any ARM With Greater Than or Equal to 15 Months to Next Payment Change Date No more than 2 percentage points above the prior Combined Rate. N/A N/A (d) HUD Employee Mortgage For non-credit qualifying Streamline Refinance s only, any HUD employee may have their Mortgage underwritten and approved/denied by the Mortgagee . (e) Reviewing L imited Denial Participation and SAM Exclusion Lists The Mortgagee must check the HUD Limited Denial of Participation (LDP) list to confirm the Borrower s eligibility to participate in an FHA -i"
What are the key points mentioned about conflicts?,"e value of the Property and the Property s compliance with HUDs Minimum Property Standard s (MPS) . (1) Integrity of Valuation Process: Communications with Mortgagee s The Mortgagee must ensure the integrity of the valuation process by ensuring the valuation process is free from conflicts of interest and the appearance of conflicts of interest. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT A. Title II Insured Housing Programs Forward Mortgages 1. Origination/Processing Handbook 4000.1 172 Last Revised: 10/31 /2023 (a) Standard The Mortgagee must prevent its staff, or any person who is compensated on a commission basis upon the successful completion of a Mortgage , or who reports, ultimately, to any officer of the Mortgagee not independent of the mortgage production staff and process, from having substantive communications with an Appraiser relating to or having an impact on valuation, including ordering or managing an appraisal assignment. Normal communications necessary to processing of a case is permissible, but cannot attempt t o influence the Appraiser . The underwriter who has responsibility for the quality of the appraisal report is allowed to request clarifications and discuss with the Appraiser components of the appraisal that influence its quality. (b) Exception for Smaller Mortgagees When absolute lines of independence cannot be achieved because of the Mortgagee s small size and limited staff, the Mortgagee must clearly demonstrate that it has prudent safeguards"
How does the document describe extent?,"- Section 235 Mortgages (03/31/2022) Handbook 4000.1 1374 Last Revised: 10/31 /2023 j. Section 235 Mortgages (03/31/2022 ) Effective May 4, 2015, HUD removed the regulations for its Section 235 Program, which authorized HUD to provide mortgage subsidy payments to Mortgagees to assist lower - income families who were unable to meet the credit requirements generally applicable to FHA mortgage insu rance programs. Authority to insure new Mortgages under Section 235 expired October 1, 1989. To the extent that any Section 235 mortgages remain in existence, or second mortgages for the recapture of subsidy payment pursuant to HUDs regul ations governing the Section 235 Program, the removal of these regulations does not affect the requirements for transactions entered into when Section 235 Program regulations were in effect. A Borrower with an existing Section 235 Mortgage may still refina nce the Mortgage. Section 235 Mortgages have additional servicing requirements due to the Assistance Payment Contract. The Mortgagee must continue servicing Section 235 Mortgages in accordance with published guidance, preserved here verbatim. Mortgagees should direct questi ons regarding Section 235 Mortgage servicing to the NSC . i. Section 235 Mortgages Formerly HUD Handbook 4330.1, REV -5, Chapter 10 10-1 GENERAL (24 CFR 235). Under the Section 235 program, HUD assists mortgagors in making their monthly mortgage payments by paying directly to the mortgagee a portion of the mortgagors monthly pa"
What does the document say about Estate?,"complicated problems that can crop up during a home sale. Remember: Y our transaction is unique. 3. How will you help me determine my needs and priorities? The agents first task is to help you identify your list of musts and wants - the home features that you need, versus the features that youd like to have but can live without. 4. Is your real estate license in good standing? Y ou can also check with your states Real Estate Commission to confirm the agent has no disciplinary actions. 5. How will you stay in touch with me? Y our agents communication style should align with yours. If you prefer to be contacted via text when new listings crop up, make sure your agent is able to do that. 6. What neighborhoods do you specialize in? Y ou want an agent whos intimately familiar with the neighborhood(s) youre interested in. Another way of framing this question is to ask, How many homes have you sold in this neighborhood in the last year? 7. What price range do you typically work in? In addition to being a neighborhood expert, your agent should do a large portion of their business with home buyers in your price range. Its important because challenges and negotiation strategies can vary based on what type of home youre buying. Copyright 2019 NATIONAL ASSOCIATION OF REALTORSHouseLogic.com 208. How many other clients are you working with? Y ou want someone who can give you quality, one-on-one customer service when you buy your first home."
What does the document say about judicial?,"ed below in the following order: 1. Borrower s death certificate , if applicable ; 2. evidence of Borrowers residence in health care facility for more than 12 consecutive months, if applicable; 3. copy of HECM Borrower and Eligible Surviving NBS s marriage certificate, legal opinion certifying the validity of the marriage, or other evidence sufficient to establish the legal validity of the marriage; 4. affirmation that no allegations which would invalidate the HECM exists or , if there were allegations, evidence of the judicial resolution documenting a finding in favor of the Mortgagee; 5. a signed Mortgagee certification that the HECM lien is a valid, legally enforceable first lien ; and 6. a signed Eligible Surviving NBS certification as provided in the MOE Assignment section . iv. Preliminary Review by HUD HUD will review the Mortgagees Claim Type 22 assignment request and if approved, the Mortgagee will receive notification of the decision in HERMIT with instructions on how to proceed. v. Completing the Assignment Process Within 90 calendar days from claim payment , the Mortgagee must send the items listed below to HUDs Loan Servic ing Contractor and complete the Claim Type 22 Assignment Claim timeline steps in HERMIT : the endorsed, original first Note; the original first Mortgage/ deed of trust; a check made payable to HUD for any funds remaining from the a local, state, or other government property charge assistance program, if applicable; and a manifest identifying th"
What does the document say about creates?,"g for both Title I and Title II approval, whether simultaneously or separately, will only be assessed a single application fee. (B) Exception Applicants applying for approval as Government Mortgagee s or applicants organized as nonprofits are not required to pay an application fee. (C) Required Documentation The application fee must be submitted as part of the online application . c. Eligibility Requirements (11/07/2023 ) i. Business Form (A) Standard A Nonsupervised or Investing Mortgagee must be organized in one of the following acceptable business forms. A sole proprietorship is not an acceptable business form. (1) Corporation (a) Definition A Corporation is an entity chartered in the United States or its territories. (b) Standard The corporation must be organized in accordance with federal and state laws regarding corporations and must provide for permanent succession . (c) Required Documentation The corporation must submit copies of its articles of incorporation and bylaws with its application. I. DOING BUSINESS WITH FHA A. FHA Lenders and Mortgagees (09/20/2021) 3. Application and Eligibility Requirements for Approval Handbook 4000.1 9 Last Revised: 10/31 /2023 (2) Limited Liability Company (a) Definition A Limited Liability Company (LLC) is organized under applicable state law which creates a legal entity with a combination of the legal and tax attributes of corporations and partnerships. (b) Standard The LLC must: consist of two or more members, unless its single memb"
